root@comp3134:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:46:09.354766 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2504971002:2504971110, ack 561089138, win 501, options [nop,nop,TS val 1836012282 ecr 1565995545], length 108
20:46:09.354870 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 108:264, ack 1, win 501, options [nop,nop,TS val 1836012282 ecr 1565995545], length 156
20:46:09.354925 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 264:332, ack 1, win 501, options [nop,nop,TS val 1836012282 ecr 1565995545], length 68
20:46:09.354967 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 332:368, ack 1, win 501, options [nop,nop,TS val 1836012282 ecr 1565995545], length 36
20:46:09.373213 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 368, win 5639, options [nop,nop,TS val 1565995562 ecr 1836012282], length 0
20:46:09.445202 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 368:588, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 220
20:46:09.445343 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 588:624, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 36
20:46:09.445362 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 624:820, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 196
20:46:09.445414 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 820:856, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 36
20:46:09.445463 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 856:1052, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 196
20:46:09.445510 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1052:1088, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 36
20:46:09.445561 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1088:1284, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 196
20:46:09.445603 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1284:1320, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 36
20:46:09.445645 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1320:1508, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 188
20:46:09.445689 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1508:1544, ack 1, win 501, options [nop,nop,TS val 1836012372 ecr 1565995562], length 36
20:46:09.462414 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 820, win 5638, options [nop,nop,TS val 1565995654 ecr 1836012372], length 0
20:46:09.462415 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 1544, win 5634, options [nop,nop,TS val 1565995655 ecr 1836012372], length 0
20:46:09.549151 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1544:1740, ack 1, win 501, options [nop,nop,TS val 1836012476 ecr 1565995655], length 196
20:46:09.549414 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1740:1776, ack 1, win 501, options [nop,nop,TS val 1836012476 ecr 1565995655], length 36
20:46:09.549537 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1776:1972, ack 1, win 501, options [nop,nop,TS val 1836012476 ecr 1565995655], length 196
20:46:09.549593 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 1972:2008, ack 1, win 501, options [nop,nop,TS val 1836012476 ecr 1565995655], length 36
20:46:09.549683 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2008:2204, ack 1, win 501, options [nop,nop,TS val 1836012476 ecr 1565995655], length 196
20:46:09.549740 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2204:2240, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.549815 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2240:2436, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 196
20:46:09.549867 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2436:2472, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.549944 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2472:2676, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 204
20:46:09.549996 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2676:2712, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.550070 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2712:2916, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 204
20:46:09.550123 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2916:2952, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.550199 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2952:3156, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 204
20:46:09.550253 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3156:3192, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.550327 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3192:3396, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 204
20:46:09.550379 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3396:3432, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.550458 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3432:3636, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 204
20:46:09.550509 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3636:3672, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.550585 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3672:3876, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 204
20:46:09.550643 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3876:3912, ack 1, win 501, options [nop,nop,TS val 1836012477 ecr 1565995655], length 36
20:46:09.569029 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 3912, win 5608, options [nop,nop,TS val 1565995759 ecr 1836012477], length 0
20:46:09.569116 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 3912:4360, ack 1, win 501, options [nop,nop,TS val 1836012496 ecr 1565995759], length 448
20:46:09.587645 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 4360, win 5638, options [nop,nop,TS val 1565995779 ecr 1836012496], length 0
20:46:09.653096 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 4360:4564, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 204
20:46:09.653226 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 4564:4600, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 36
20:46:09.653295 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 4600:4804, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 204
20:46:09.653353 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 4804:4840, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 36
20:46:09.653428 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 4840:5044, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 204
20:46:09.653497 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5044:5080, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 36
20:46:09.653569 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5080:5284, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 204
20:46:09.653622 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5284:5320, ack 1, win 501, options [nop,nop,TS val 1836012580 ecr 1565995779], length 36
20:46:09.653694 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5320:5524, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 204
20:46:09.653745 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5524:5560, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 36
20:46:09.653815 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5560:5764, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 204
20:46:09.653865 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5764:5800, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 36
20:46:09.653937 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 5800:6004, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 204
20:46:09.654071 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 6004:6244, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 240
20:46:09.654222 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 6244:6520, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 276
20:46:09.654273 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 6520:6724, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 204
20:46:09.654318 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 6724:6760, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 36
20:46:09.654389 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 6760:6964, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 204
20:46:09.654439 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 6964:7000, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 36
